"Comune";"Vino";"Atto";"Gazzetta Ufficiale";"Latitudine";"Longitudine";
"Battaglia Terme";"Bagnoli";"D. M. 08/11/2011";"n. 273 del 23/11/2011";"45.2881296";"11.7931296";
"Bovolenta";"Bagnoli";"D. M. 08/11/2011";"n. 273 del 23/11/2011";"45.2720443";"11.9370378";
"Candiana";"Bagnoli";"D. M. 08/11/2011";"n. 273 del 23/11/2011";"45.2220370";"11.9901666";
"Due Carrare";"Bagnoli";"D. M. 08/11/2011";"n. 273 del 23/11/2011";"45.2935978";"11.8191407";
"Cartura";"Bagnoli";"D. M. 08/11/2011";"n. 273 del 23/11/2011";"45.2693888";"11.8578148";
"Conselve";"Bagnoli";"D. M. 08/11/2011";"n. 273 del 23/11/2011";"45.2318888";"11.8748518";
"Monselice";"Bagnoli";"D. M. 08/11/2011";"n. 273 del 23/11/2011";"45.2395286";"11.7503996";
"Pernumia";"Bagnoli";"D. M. 08/11/2011";"n. 273 del 23/11/2011";"45.2584268";"11.7889653";
"San Pietro Viminario";"Bagnoli";"D. M. 08/11/2011";"n. 273 del 23/11/2011";"45.2443888";"11.8173518";
"Terrassa Padovana";"Bagnoli";"D. M. 08/11/2011";"n. 273 del 23/11/2011";"45.2450000";"11.9037592";
"Tribano";"Bagnoli";"D. M. 08/11/2011";"n. 273 del 23/11/2011";"45.2088320";"11.8310910";
"Bardolino";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.5475580";"10.7210038";
"Garda";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.5746483";"10.7077081";
"Lazise";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.5052821";"10.7325905";
"Affi";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.5529314";"10.7787311";
"Costremano";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.5870638";"10.7393507";
"Cavaion Veronese";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.5398740";"10.7693030";
"Torri del Benaco";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.6098059";"10.6868823";
"Caprino";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.6059629";"10.7962592";
"Pastrengo";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.4940740";"10.8009629";
"Bussolengo";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.4745577";"10.8464106";
"Sona";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.4344795";"10.8323621";
"Sommacampagna";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.4074969";"10.8410188";
"Castelnuovo";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.4396447";"10.7640751";
"Peschiera";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.4393871";"10.6920548";
"Valeggio sul Mincio";"Bardolino";"D. M. 08/11/2011";"n. 274 del 24/11/2011";"45.3539721";"10.7364908";
"Sommacampagna";"Bianco di Custoza";"D. M. 08/11/2011";"n. 279 del 30/11/2011";"45.4074969";"10.8410188";
"Villafranca di Verona";"Bianco di Custoza";"D. M. 08/11/2011";"n. 279 del 30/11/2011";"45.3506973";"10.8433180";
"Valeggio sul Mincio";"Bianco di Custoza";"D. M. 08/11/2011";"n. 279 del 30/11/2011";"45.3539721";"10.7364908";
"Peschiera del Garda";"Bianco di Custoza";"D. M. 08/11/2011";"n. 279 del 30/11/2011";"45.4393871";"10.6920548";
"Lazise";"Bianco di Custoza";"D. M. 08/11/2011";"n. 279 del 30/11/2011";"45.5052821";"10.7325905";
"Castelnuovo del Garda";"Bianco di Custoza";"D. M. 08/11/2011";"n. 279 del 30/11/2011";"45.4396447";"10.7640751";
"Pastrengo";"Bianco di Custoza";"D. M. 08/11/2011";"n. 279 del 30/11/2011";"45.4940740";"10.8009629";
"Bussolengo";"Bianco di Custoza";"D. M. 08/11/2011";"n. 279 del 30/11/2011";"45.4745577";"10.8464106";
"Sona";"Bianco di Custoza";"D. M. 08/11/2011";"n. 279 del 30/11/2011";"45.4344795";"10.8323621";
"Breganze";"Breganze";"D. M. 01/08/2008";"n. 196 del 22/08/2008";"45.7080607";"11.5647946";
"Fara Vicentino";"Breganze";"D. M. 01/08/2008";"n. 196 del 22/08/2008";"45.7403354";"11.5476577";
"Mason Vicentino";"Breganze";"D. M. 01/08/2008";"n. 196 del 22/08/2008";"45.7195370";"11.6078148";
"Molvena";"Breganze";"D. M. 01/08/2008";"n. 196 del 22/08/2008";"45.7449453";"11.6147050";
"Bassano del Grappa";"Breganze";"D. M. 01/08/2008";"n. 196 del 22/08/2008";"45.7666080";"11.7339608";
"Lugo di Vicenza";"Breganze";"D. M. 01/08/2008";"n. 196 del 22/08/2008";"45.7464074";"11.5298703";
"Marostica";"Breganze";"D. M. 01/08/2008";"n. 196 del 22/08/2008";"45.7446009";"11.6554899";
"Montecchio Precalcino";"Breganze";"D. M. 01/08/2008";"n. 196 del 22/08/2008";"45.6667407";"11.5647037";
"Pianezze";"Breganze";"D. M. 01/08/2008";"n. 196 del 22/08/2008";"45.7407962";"11.6279814";
"Salcedo";"Breganze";"D. M. 01/08/2008";"n. 196 del 22/08/2008";"45.7578827";"11.5682402";
"Sandrigo";"Breganze";"D. M. 01/08/2008";"n. 196 del 22/08/2008";"45.6606657";"11.6031127";
"Sarcedo";"Breganze";"D. M. 01/08/2008";"n. 196 del 22/08/2008";"45.7027760";"11.5304227";
"Zugliano";"Breganze";"D. M. 01/08/2008";"n. 196 del 22/08/2008";"45.7307962";"11.5250000";
"Albettone";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.3578148";"11.5828148";
"Alonte";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.3668888";"11.4281296";
"Altavilla";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.5119350";"11.4603710";
"Arcugnano";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4951612";"11.5514699";
"Barbarano Vicentino";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4092849";"11.5422380";
"Brendola";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4724113";"11.4461293";
"Castelgnero";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4376803";"11.6011179";
"Grancona";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4232004";"11.4528771";
"Mossano";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4194534";"11.5556874";
"Nanto";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4345797";"11.5780289";
"Orgiano";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.3489259";"11.4642407";
"San Germano dei Berici";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4020182";"11.4706939";
"Sovizzo";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.5276666";"11.4472037";
"Villaga";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4033600";"11.5332522";
"Zovencedo";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4295555";"11.5042222";
"Asigliano Veneto";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.3056296";"11.4475185";
"Campiglia dei Berici";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.3357962";"11.5434444";
"Creazzo";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.5314910";"11.4814139";
"Longare";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4791115";"11.6085084";
"Lonigo";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.3880142";"11.3881105";
"Montebello Vicentino";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4575185";"11.3845370";
"Montecchio Maggiore";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.5046910";"11.4058330";
"Montegalda";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4470313";"11.6761139";
"Montegaldella";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4370370";"11.6717407";
"Monteviale";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.5614074";"11.4590740";
"Sarego";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.4074536";"11.4050722";
"Sossano";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.3612592";"11.5131481";
"Vicenza";"Colli Berici";"D. M. 08/10/2009";"n. 246 del 22/10/2009";"45.5459053";"11.5403070";
"Arquà Petrarca";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2700515";"11.7167922";
"Galzignano Terme";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3074851";"11.7314141";
"Torreglia";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3354100";"11.7319250";
"Abano Terme";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3605420";"11.7893806";
"Montegrotto Terme";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3318641";"11.7837949";
"Battaglia Terme";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2881296";"11.7931296";
"Due Carrare";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2935978";"11.8191407";
"Monselice";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2395286";"11.7503996";
"Baone";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2445370";"11.6892407";
"Este";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2276375";"11.6565594";
"Cinto Euganeo";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2757962";"11.6628148";
"Lozzo Atestino";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.2870260";"11.6277160";
"Vo'";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3292222";"11.6425000";
"Rovolon";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3653936";"11.6623252";
"Cervarese Santa Croce";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.4244800";"11.6868240";
"Teolo";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3485285";"11.6722939";
"Selvazzano Dentro";"Colli Euganei";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.3893676";"11.7894607";
"Gambellara";"Gambellara";"D. M. 20/09/2011";"n. 235 del 08/10/2011";"45.4607962";"11.3412777";
"Meduna di Livenza";"Lison-Pramaggiore";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8068888";"12.6148518";
"Motta di Livenza";"Lison-Pramaggiore";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7775000";"12.6087592";
"Annone Veneto";"Lison-Pramaggiore";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7940990";"12.6835270";
"Cinto Caomaggiore";"Lison-Pramaggiore";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8300185";"12.7836111";
"Gruaro";"Lison-Pramaggiore";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8326666";"12.8461111";
"Fossalta di Portogruaro";"Lison-Pramaggiore";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7923770";"12.9086360";
"Pramaggiore";"Lison-Pramaggiore";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8153148";"12.7372037";
"Teglio Veneto";"Lison-Pramaggiore";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8154010";"12.8846050";
"Caorle";"Lison-Pramaggiore";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.5948518";"12.8707962";
"Concordia Sagittaria";"Lison-Pramaggiore";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7569180";"12.8443170";
"Portogruaro";"Lison-Pramaggiore";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7750301";"12.8378287";
"San Michele al Tagliamento";"Lison-Pramaggiore";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7641516";"12.9949504";
"San Stino di Livenza";"Lison-Pramaggiore";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7315843";"12.6836963";
"Peschiera del Garda";"Lugana";"D. M. 02/05/2011";"n. 120 del 25/05/2011";"45.4393871";"10.6920548";
"Masi";"Merlara";"D. M. 21/04/2007";"n. 102 del 05/05/2009";"45.1098518";"11.4903333";
"Castelbaldo";"Merlara";"D. M. 21/04/2007";"n. 102 del 05/05/2009";"45.1233865";"11.4592174";
"Merlara";"Merlara";"D. M. 21/04/2007";"n. 102 del 05/05/2009";"45.1673518";"11.4423518";
"Urbana";"Merlara";"D. M. 21/04/2007";"n. 102 del 05/05/2009";"45.1937592";"11.4459444";
"Casale di Scodosia";"Merlara";"D. M. 21/04/2007";"n. 102 del 05/05/2009";"45.1870555";"11.4693888";
"Terrazzo";"Merlara";"D. M. 21/04/2007";"n. 102 del 05/05/2009";"45.1742222";"11.3945555";
"Bevilacqua";"Merlara";"D. M. 21/04/2007";"n. 102 del 05/05/2009";"45.2328333";"11.3936111";
"Boschi Sant'Anna";"Merlara";"D. M. 21/04/2007";"n. 102 del 05/05/2009";"45.2187777";"11.3573703";
"Montagnana";"Merlara";"D. M. 21/04/2007";"n. 102 del 05/05/2009";"45.2336096";"11.4672416";
"Castelcucco";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8317407";"11.8853333";
"Cornuda";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8317846";"12.0080604";
"Monfumo";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8310911";"11.9202637";
"Asolo";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.7932962";"11.9128333";
"Caerano di San Marco";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.7862777";"12.0039259";
"Cavaso del Tomba";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8617407";"11.8995555";
"Crocetta del Montello";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8255760";"12.0356150";
"Fonte";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.7849210";"11.8724490";
"Giavera del Montello";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.7948518";"12.1695370";
"Maser";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8084629";"11.9761111";
"Montebelluna";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.7775470";"12.0464467";
"Nervesa della Battaglia";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8231296";"12.2059444";
"Paderno del Grappa";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8294031";"11.8596419";
"Pederobba";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8779980";"11.9549530";
"Possagno";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.8534444";"11.8742407";
"San Zenone degli Ezzelini";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.7814259";"11.8382962";
"Volpago del Montello";"Montello - Colli Asolani";"D. M. 13/10/2011";"n. 248 del 24/10/2011";"45.7782962";"12.1154814";
"Vestenanova";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.5745370";"11.2295370";
"San Giovanni Ilarione";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.5215740";"11.2373703";
"Montecchia di Crosara";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.4854814";"11.2554814";
"Roncà";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.4790730";"11.2891270";
"Cazzano di Tramigna";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.4739960";"11.2031520";
"Tregnago";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.5145200";"11.1646240";
"Badia Calavena";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.5673518";"11.1537777";
"Arzignano";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.5193876";"11.3395840";
"Castelgomberto";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.5859629";"11.3967222";
"Chiampo";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.5468888";"11.2806296";
"Brogliano";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.5890414";"11.3670530";
"Gambugliano";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.5889074";"11.4397037";
"Trissino";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.5622037";"11.3728333";
"Cornedo Vicentino";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.6140740";"11.3417407";
"Costabissara";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.5845370";"11.4882962";
"Gambellara";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.4607962";"11.3412777";
"Isola Vicentina";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.6292339";"11.4437200";
"Malo";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.6612592";"11.4086111";
"Marano Vicentino";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.6940740";"11.4284629";
"Monte di Malo";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.6620555";"11.3623518";
"Montebello Vicentino";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.4575185";"11.3845370";
"Montecchio Maggiore";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.5046910";"11.4058330";
"Montorso Vicentino";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.4918888";"11.3612592";
"Nogarole Vicentino";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.5611045";"11.2897544";
"San Vito di Leguzzano";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.6893110";"11.3737722";
"Schio";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.7134629";"11.3584444";
"Zermeghedo";"Monti Lessini";"D. M. 08/11/2011";"n. 272 del 22/11/2011";"45.4759514";"11.3706459";
"Arcade";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7845370";"12.2228333";
"Breda di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7248518";"12.3337777";
"Casale sul Sile";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.5989259";"12.3243888";
"Cessalto";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7140740";"12.6154814";
"Chiarano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7300000";"12.5837592";
"Cimadolmo";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7845626";"12.3640065";
"Codognè";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8702109";"12.4308257";
"Fontanelle";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8370555";"12.4653333";
"Godega Sant'Urbano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.9307962";"12.3992222";
"Gorgo al Monticano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7885424";"12.5523691";
"Mareno di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8408790";"12.3507100";
"Maserada sul Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7499120";"12.3200280";
"Monastier di Treviso";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6508720";"12.4354010";
"Oderzo";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7812715";"12.4936280";
"Ormelle";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7803333";"12.4231481";
"Ponte di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7147450";"12.4645080";
"Ponzano Veneto";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7157010";"12.2026929";
"Portobuffolè";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8562355";"12.5377327";
"Povegliano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7610940";"12.2037683";
"Roncade";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6280609";"12.3747990";
"Salgareda";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7044850";"12.4921750";
"San Biagio di Callalta";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6854522";"12.3772170";
"San Fior";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.9209530";"12.3574120";
"San Polo di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7925185";"12.3943888";
"Santa Lucia di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8450590";"12.2808070";
"Spresiano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7794590";"12.2561040";
"Vazzola";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8427961";"12.3843074";
"Zenson di Piave";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6782360";"12.4895490";
"Carbonera";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6845370";"12.2854814";
"Casier";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6438800";"12.2957627";
"Gaiarine";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8795370";"12.4809629";
"Mansuè";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8232096";"12.5354700";
"Mogliano Veneto";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.5613413";"12.2363309";
"Orsago";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.9306720";"12.4235730";
"Preganziol";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6022462";"12.2351883";
"Silea";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6546710";"12.2968410";
"Villorba";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7136680";"12.2600845";
"Colle Umberto";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.9399657";"12.3399807";
"Conegliano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8881481";"12.3050185";
"Cordignano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.9528333";"12.4148703";
"Giavera del Montello";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7948518";"12.1695370";
"Montebelluna";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7775470";"12.0464467";
"Motta di Livenza";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7775000";"12.6087592";
"Nervesa della Battaglia";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8231296";"12.2059444";
"Paese";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.6776252";"12.1563908";
"San Vendemiano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8867406";"12.3516602";
"Susegana";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.8519560";"12.2507649";
"Trevignano";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7433793";"12.0927416";
"Vittorio Veneto";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.9798115";"12.3033131";
"Volpago del Montello";"Piave";"D. M. 22/12/2010";"n. 4 del 07/01/2011";"45.7782962";"12.1154814";
